emoji,int,hex
🀀,126976,0x1f000
🀁,126977,0x1f001
🀂,126978,0x1f002
🀃,126979,0x1f003
🀄,126980,0x1f004
🀅,126981,0x1f005
🀆,126982,0x1f006
🀇,126983,0x1f007
🀈,126984,0x1f008
🀉,126985,0x1f009
🀊,126986,0x1f00a
🀋,126987,0x1f00b
🀌,126988,0x1f00c
🀍,126989,0x1f00d
🀎,126990,0x1f00e
🀏,126991,0x1f00f
🀐,126992,0x1f010
🀑,126993,0x1f011
🀒,126994,0x1f012
🀓,126995,0x1f013
🀔,126996,0x1f014
🀕,126997,0x1f015
🀖,126998,0x1f016
🀗,126999,0x1f017
🀘,127000,0x1f018
🀙,127001,0x1f019
🀚,127002,0x1f01a
🀛,127003,0x1f01b
🀜,127004,0x1f01c
🀝,127005,0x1f01d
🀞,127006,0x1f01e
🀟,127007,0x1f01f
🀠,127008,0x1f020
🀡,127009,0x1f021
🀢,127010,0x1f022
🀣,127011,0x1f023
🀤,127012,0x1f024
🀥,127013,0x1f025
🀦,127014,0x1f026
🀧,127015,0x1f027
🀨,127016,0x1f028
🀩,127017,0x1f029
🀪,127018,0x1f02a
🀫,127019,0x1f02b
🀬,127020,0x1f02c
🀭,127021,0x1f02d
🀮,127022,0x1f02e
🀯,127023,0x1f02f
🀰,127024,0x1f030
🀱,127025,0x1f031
🀲,127026,0x1f032
🀳,127027,0x1f033
🀴,127028,0x1f034
🀵,127029,0x1f035
🀶,127030,0x1f036
🀷,127031,0x1f037
🀸,127032,0x1f038
🀹,127033,0x1f039
🀺,127034,0x1f03a
🀻,127035,0x1f03b
🀼,127036,0x1f03c
🀽,127037,0x1f03d
🀾,127038,0x1f03e
🀿,127039,0x1f03f
🁀,127040,0x1f040
🁁,127041,0x1f041
🁂,127042,0x1f042
🁃,127043,0x1f043
🁄,127044,0x1f044
🁅,127045,0x1f045
🁆,127046,0x1f046
🁇,127047,0x1f047
🁈,127048,0x1f048
🁉,127049,0x1f049
🁊,127050,0x1f04a
🁋,127051,0x1f04b
🁌,127052,0x1f04c
🁍,127053,0x1f04d
🁎,127054,0x1f04e
🁏,127055,0x1f04f
🁐,127056,0x1f050
🁑,127057,0x1f051
🁒,127058,0x1f052
🁓,127059,0x1f053
